	
06/27/2022  15:34:42		Bought 33 SOXL @ 15.871
 
-523.74		0.00		0.00		
 
06/29/2022  14:35:46		Bought 25 SRS @ 17.1115
 
-427.79		0.00		0.00		
 
07/05/2022  09:33:49		Bought 23 SOXL @ 10.695
 
-245.99		0.00		0.00		
 
07/07/2022  11:32:16		Sold 18 SOXL @ 13.3201
 
239.75		0.00		0.01		
 
07/07/2022  11:34:06		Bought 10 SRS @ 16.31
 
-163.10		0.00		0.00		
 
07/11/2022  09:39:45		Bought 14 SRS @ 16.809
 
-235.33		0.00		0.00		
 
07/11/2022  09:44:33		Bought 24 UBER @ 21.48
 
-515.52		0.00		0.00		
 
07/11/2022  09:43:32		Sold 38 SOXL @ 12.885
 
489.62		0.00		0.01		
 
07/14/2022  14:48:43		Bought 35 SRS @ 17.35
 
-607.25		0.00		0.00		
 
07/14/2022  14:49:11		Sold 24 UBER @ 20.9701
 
503.27		0.00		0.01		
 
07/25/2022  12:48:12		Bought 24 INTC @ 39.385
 
-945.24		0.00		0.00		
 
07/26/2022  15:20:12		Sold 25 SRS @ 15.7634
 
394.08		0.00		0.01		
 
07/26/2022  15:21:09		Bought 10 SOXS @ 48.345
 
-483.45		0.00		0.00		
 
07/28/2022  14:28:31		Bought 6 SOXS @ 40.745
 
-244.47		0.00		0.00		
 
07/28/2022  16:18:47		Sold 24 INTC @ 36.06
 
865.42		0.00		0.02		
 
07/28/2022  16:19:53		Bought 8 SOXS @ 41.07
 
-328.56		0.00		0.00		
 
08/05/2022  14:16:02		Bought 9 SOXS @ 36.135
 
-325.22		0.00		0.00		
 
08/31/2022  10:24:44		Bought 70 PLTR @ 7.8717
 
-551.02		0.00		0.00		
 
09/01/2022  10:33:45		Sold 33 SOXS @ 53.3202
 
1,759.53		0.00		0.04		
 
09/02/2022  15:55:14		Bought 46 KOLD @ 11.2099
 
-515.66		0.00		0.00		
 
09/06/2022  10:29:41		Bought 10 KOLD @ 12.42
 
-124.20		0.00		0.00		
 
09/08/2022  10:08:49		Bought 31 SRS @ 15.3898
 
-477.08		0.00		0.00		
 
09/09/2022  12:01:04		Bought 5 GOOG @ 111.15
 
-555.75		0.00		0.00		
 
09/09/2022  12:01:34		Bought 25 PLTR @ 7.765
 
-194.13		0.00		0.00		
 
09/13/2022  09:34:24		Sold 5 GOOG @ 108.7601
 
543.79		0.00		0.01		
 
09/13/2022  10:51:34		Bought 50 SPXS @ 21.8899
 
-1,094.50		0.00		0.00		
 
09/14/2022  09:32:34		Sold 56 KOLD @ 11.0511
 
618.84		0.00		0.02		
 
09/14/2022  09:33:26		Bought 7 BOIL @ 93.35
 
-653.45		0.00		0.00		
 
09/15/2022  09:31:02		Sold 7 BOIL @ 86.7
 
606.89		0.00		0.01		
 
09/16/2022  12:39:02		Bought 23 SRS @ 17.3491
 
-399.03		0.00		0.00		
 
09/19/2022  12:09:16		Sold 50 SPXS @ 23.81
 
1,190.46		0.00		0.04		
 
09/21/2022  14:22:29		Bought 59 DRIP @ 17.615
 
-1,039.29		0.00		0.00		
 
09/22/2022  10:25:52		Bought 16 TSLS @ 24.36
 
-389.76		0.00		0.00		
 
09/23/2022  10:29:04		Sold 59 DRIP @ 20.9655
 
1,236.92		0.00		0.04		
 
09/28/2022  13:17:31		Sold 113 SRS @ 19.91
 
2,249.77		0.00		0.06		
 
09/28/2022  13:25:30		Bought 90 TQQQ @ 21.9898
 
-1,979.08		0.00		0.00		
 
09/28/2022  13:47:59		Bought 60 JNUG @ 24.2
 
-1,452.00		0.00		0.00		
 
09/29/2022  09:35:44		Sold 90 TQQQ @ 21.135
 
1,902.10		0.00		0.05		
 
09/30/2022  12:28:18		Bought 20 TSLS @ 26.1606
 
-523.21		0.00		0.00		
 
09/30/2022  14:40:43		Bought 37 TSLS @ 26.5
 
-980.50		0.00		0.00		
 
10/04/2022  11:00:34		Sold 60 JNUG @ 31.065
 
1,863.85		0.00		0.05		
 
10/05/2022  11:20:16		Bought 156 DRIP @ 14.785
 
-2,306.46		0.00		0.00		
 
10/05/2022  11:45:33		Sold 156 DRIP @ 14.5442
 
2,268.83		0.00		0.07		
 
10/12/2022  09:54:27		Sold 73 TSLS @ 32.7785
 
2,392.77		0.00		0.06		
 
10/12/2022  11:55:00		Bought 47 XOM @ 98.325
 
-4,621.28		0.00		0.00		
 
10/12/2022  09:54:27		Sold 73 TSLS @ 32.7785
 
-2,392.77		0.00		-0.06		
 
10/12/2022  11:55:00		Bought 47 XOM @ 98.325
 
4,621.28		0.00		0.00		
 
10/12/2022  09:54:27		Sold 73 TSLS @ 32.7785
 
2,392.77		0.00		0.06		
 
10/12/2022  11:55:00		Bought 47 XOM @ 98.325
 
-4,621.28		0.00		0.00		
 
10/13/2022  14:27:35		Bought 100 UCO @ 31.9881
 
-3,198.81		0.00		0.00		
 
10/14/2022  10:07:49		Sold 47 XOM @ 100.715
 
4,733.49		0.00		0.12		
 
10/14/2022  14:27:27		Sold 100 UCO @ 29.855
 
2,985.42		0.00		0.08		
 
10/17/2022  12:14:14		Bought 80 NE @ 32.3899
 
-2,591.19		0.00		0.00		
 
10/17/2022  12:17:55		Bought 100 ZETA @ 7.325
 
-732.50		0.00		0.00		
 
10/17/2022  12:22:50		Bought 250 SEAT @ 7.7655
 
-1,941.38		0.00		0.00		
 
10/19/2022  09:47:52		Bought 26 BOIL @ 38.76
 
-1,007.76		0.00		0.00		
 
10/20/2022  12:54:20		Bought 57 INTC @ 26.225
 
-1,494.83		0.00		0.00		
 
10/21/2022  11:16:25		Sold 26 BOIL @ 32.345
 
840.95		0.00		0.02		
 
10/21/2022  11:16:39		Sold 100 ZETA @ 7.285
 
728.47		0.00		0.03		
 
10/21/2022  11:16:57		Sold 250 SEAT @ 7.75
 
1,937.43		0.00		0.07		
 
10/21/2022  11:17:17		Sold 80 NE @ 32.91
 
2,632.73		0.00		0.07		
 
10/24/2022  12:32:53		Bought 255 BHK @ 9.685
 
-2,469.68		0.00		0.00		
 
10/24/2022  13:04:12		Bought 294 SOXL @ 8.5799
 
-2,522.49		0.00		0.00		
 
10/24/2022  13:51:19		Bought 100 SOXL @ 8.605
 
-860.50		0.00		0.00		
 
10/25/2022  09:46:55		Sold 394 SOXL @ 9.245
 
3,642.40		0.00		0.13		
 
10/25/2022  14:37:03		Bought 70 EDC @ 21.7201
 
-1,520.41		0.00		0.00		
 
 

